Simulacao,Tempo_s,STEP,DP01,DP02,DP03,DP04,DP05,DP06,DP07,DP08,DP09,DP10,DP11,DP12
Stamp_128,"0.1518,0.2064,0.2615,0.3173,0.3742,0.4329,0.4944,0.5605,0.6346,0.7257,0.9273","-220.0007,-197.9999,-176.0003,-153.9957,-131.9989,-109.9971,-87.9971,-65.997,-43.9964,-21.9972,-0.0005","0.0,0.14,0.7076,2.1075,4.6602,8.7593,14.5429,22.4359,31.1318,39.8756,48.4855","0.0,0.1025,0.4248,1.9059,4.6729,10.3059,18.8624,32.0743,49.1818,67.4685,87.8183","0.0,0.3014,0.8883,2.3399,4.2672,6.9745,10.7676,15.8562,22.9028,30.8924,38.5871","0.0,0.3303,1.1287,3.4101,8.0206,16.1264,28.8289,44.5635,61.8662,79.6391,97.812","0.0,0.5952,3.3876,12.2508,25.147,40.4812,57.2331,74.8132,93.0195,111.2998,132.742","0.0,0.1058,1.3645,4.9169,11.6959,20.8751,31.4464,43.1309,55.4969,68.0781,80.0234","0.0,0.1875,1.3661,3.9619,8.4201,14.6281,22.5769,32.0702,42.7851,54.0075,65.0163","0.0,0.0778,0.6181,2.3185,5.3988,11.2351,19.4228,29.6355,41.7931,56.9001,74.1066","0.0,0.1033,0.4383,1.4265,3.1787,6.2244,10.8567,16.9645,24.6473,33.8152,44.6287","0.0,0.2462,1.3747,3.9885,10.2917,19.1652,29.5957,40.8703,52.6462,64.6192,76.5189","0.0,0.3752,2.3456,6.5475,15.9769,29.2604,44.8391,61.3952,78.62,95.8763,114.1526","0.0,0.2073,1.0598,2.9623,9.0211,19.8675,34.8341,51.6194,69.1456,86.7074,102.7813"
Stamp_129,"0.1518,0.2064,0.2615,0.3173,0.3742,0.4329,0.4944,0.5605,0.6346,0.7257,0.9273","-220.0007,-197.9999,-176.0003,-153.9957,-131.9989,-109.9971,-87.9971,-65.997,-43.9964,-21.9972,-0.0005","0.0001,0.1585,0.7407,2.1588,4.7172,8.8124,14.5538,22.3787,31.0739,39.8221,48.4053","0.0,0.1063,0.4709,1.9225,4.7221,10.3974,18.9516,32.1929,49.3538,67.6666,88.0001","0.0,0.2896,0.924,2.4054,4.3049,7.012,10.7362,15.8094,22.9195,30.8784,38.504","0.0,0.311,1.1785,3.4543,8.0569,16.1653,28.8777,44.5613,61.7993,79.4709,97.4909","0.0,0.6349,3.5756,12.6246,25.498,40.8297,57.5685,75.171,93.451,111.7931,132.9999","0.0,0.1345,1.4483,5.0219,11.7531,20.8517,31.3459,43.0078,55.4368,67.9966,79.9656","0.0,0.1713,1.4481,4.0414,8.5292,14.7623,22.7584,32.257,42.9087,54.0621,65.0804","0.0,0.0887,0.66,2.4066,5.5188,11.4613,19.7848,30.0878,42.5215,57.5528,74.9062","0.0,0.1003,0.4502,1.4496,3.1984,6.2438,10.8462,16.9907,24.7007,33.8049,44.5904","0.0,0.27,1.4204,4.0925,10.3884,19.2921,29.7442,41.0975,52.9744,64.7663,76.6067","0.0,0.4224,2.4223,6.7163,16.1654,29.5015,45.0258,61.5854,78.9459,96.1595,114.4865","0.0,0.2231,1.11,2.9922,9.0726,19.922,34.873,51.6351,69.2077,86.7531,102.7668"
Stamp_130,"0.1518,0.2064,0.2615,0.3173,0.3742,0.4329,0.4944,0.5605,0.6346,0.7257,0.9273","-220.0007,-197.9999,-176.0003,-153.9957,-131.9989,-109.9971,-87.9971,-65.997,-43.9964,-21.9972,-0.0005","0.0,0.1629,0.7436,2.1331,4.6872,8.845,14.5876,22.4705,31.1211,39.8436,48.4739","0.0,0.09,0.4775,1.9183,4.7264,10.4473,19.0381,32.2857,49.426,67.7916,88.2007","0.0,0.2864,0.9178,2.3644,4.3167,7.0511,10.842,15.9009,22.9029,30.9504,38.7646","0.0,0.2821,1.1491,3.414,8.0902,16.286,29.0554,44.7906,62.1718,79.9976,98.5315","0.0,0.6803,3.5338,12.6863,25.6678,41.1226,58.0087,75.4987,93.5115,112.5547,134.2424","0.0,0.1184,1.3957,5.0933,11.9073,21.055,31.6664,43.4225,55.839,68.4364,80.4779","0.0,0.165,1.4283,4.0937,8.673,14.9944,23.0999,32.7423,43.5012,54.8239,65.9375","0.0,0.0775,0.7266,2.423,5.623,11.5651,19.8193,30.0883,42.2656,57.3502,74.6708","0.0,0.0838,0.4502,1.4062,3.1866,6.2664,10.8856,17.0304,24.7952,33.866,44.6786","0.0,0.2666,1.398,4.0861,10.3614,19.2132,29.5771,40.8917,52.7241,64.5325,76.4827","0.0,0.3966,2.3482,6.6479,16.0709,29.4595,45.0396,61.6134,79.0348,96.2786,114.1284","0.0,0.1985,1.0728,2.9828,9.0596,19.9819,34.9629,51.8389,69.4738,87.1797,103.2069"
Stamp_131,"0.1518,0.2064,0.2615,0.3173,0.3742,0.4329,0.4944,0.5605,0.6346,0.7257,0.9273","-220.0007,-197.9999,-176.0003,-153.9957,-131.9989,-109.9971,-87.9971,-65.997,-43.9964,-21.9972,-0.0005","0.0,0.1432,0.7534,2.1995,4.8111,8.9772,14.7624,22.6496,31.3414,40.1261,48.7938","0.0,0.1002,0.4498,1.9608,4.8482,10.5522,19.1759,32.4308,49.5979,67.9849,88.4595","0.0,0.3231,0.9436,2.4126,4.3742,7.0933,10.891,15.9648,22.9529,30.9062,38.6517","0.0,0.3646,1.2164,3.5853,8.2176,16.3861,29.1363,44.8919,62.2733,80.0317,98.3782","0.0,0.6895,3.7614,13.0288,25.9685,41.3806,58.2362,75.8268,94.0857,112.8904,134.3688","0.0,0.1116,1.4637,5.2239,12.0624,21.295,32.0492,43.7751,56.2963,68.9172,80.9014","0.0,0.1996,1.4477,4.1514,8.6948,15.0197,23.0437,32.6586,43.4161,54.6548,65.7208","0.0,0.0804,0.6551,2.4307,5.7757,11.8459,20.1022,30.4106,43.0089,58.1479,75.716","0.0,0.107,0.4629,1.4658,3.2619,6.3744,11.0593,17.2484,25.0469,34.1646,45.0631","0.0,0.2589,1.4793,4.1641,10.4889,19.4462,29.9297,41.2518,53.0116,64.6176,76.2779","0.0,0.4015,2.5067,6.8696,16.3427,29.7891,45.4071,62.0471,79.5129,96.7979,115.1534","0.0,0.2244,1.1451,3.0754,9.1513,20.0058,34.9932,51.8512,69.5142,87.2263,103.4355"
Stamp_132,"0.1518,0.2064,0.2615,0.3173,0.3742,0.4329,0.4944,0.5605,0.6346,0.7257,0.9273","-220.0007,-197.9999,-176.0003,-153.9957,-131.9989,-109.9971,-87.9971,-65.997,-43.9964,-21.9972,-0.0005","0.0,0.1705,0.797,2.2465,4.8466,9.025,14.7825,22.5966,31.2499,40.0221,48.6613","0.0,0.1194,0.5036,1.9937,4.8939,10.6308,19.2231,32.4992,49.7295,68.2118,88.6558","0.0,0.2939,0.9587,2.4571,4.4074,7.1141,10.8599,15.9103,23.0683,31.0654,38.7151","0.0,0.3342,1.2539,3.614,8.2314,16.4037,29.1603,44.8945,62.2398,79.9364,98.0885","0.0,0.6373,3.8377,13.238,26.2143,41.6208,58.4577,75.9904,94.3394,113.2532,134.4799","0.0,0.164,1.5482,5.2987,12.0907,21.2849,32.0239,43.804,56.2124,68.7871,80.8971","0.0,0.1828,1.5064,4.2079,8.7679,15.0848,23.1184,32.7212,43.5056,54.7298,65.792","0.0,0.0922,0.7025,2.5241,5.8653,12.1013,20.5331,30.9126,43.7092,58.8234,76.566","0.0,0.0983,0.4721,1.4861,3.2819,6.3743,11.0144,17.2032,24.9991,34.136,45.0631","0.0,0.2741,1.4882,4.2079,10.5396,19.5303,30.0655,41.4158,53.3139,65.0834,76.7684","0.0,0.4586,2.577,6.9916,16.5179,30.0545,45.7156,62.4238,79.9221,97.2788,115.5866","0.0,0.2422,1.1936,3.0957,9.1991,20.0526,34.973,51.7324,69.3368,87.0201,103.1956"
Stamp_133,"0.1518,0.2064,0.2615,0.3173,0.3742,0.4329,0.4944,0.5605,0.6346,0.7257,0.9273","-220.0007,-197.9999,-176.0003,-153.9957,-131.9989,-109.9971,-87.9971,-65.997,-43.9964,-21.9972,-0.0005","0.0,0.1664,0.7915,2.2293,4.8357,9.0231,14.8016,22.6086,31.2001,39.9104,48.5345","0.0,0.0945,0.5135,2.0071,4.9169,10.6916,19.327,32.6546,49.8619,68.3735,88.9116","0.0001,0.2996,0.98,2.4294,4.4397,7.1879,10.9643,16.0328,23.1252,31.1942,38.9545","0.0,0.3167,1.2599,3.5745,8.2958,16.5271,29.2885,45.0508,62.4825,80.3617,99.0103","0.0,0.7032,3.9609,13.3701,26.4446,41.9713,58.8842,76.6165,94.7387,114.1487,136.2208","0.0,0.1084,1.4976,5.3389,12.2724,21.5174,32.3223,44.2185,56.7011,69.3212,81.4209","0.0,0.1644,1.4991,4.2637,8.8931,15.3106,23.4525,33.1978,44.0466,55.4117,66.5869","0.0,0.0797,0.7544,2.5452,5.9458,12.1214,20.4988,30.7959,43.4536,58.5683,76.2889","0.0,0.0836,0.4574,1.4534,3.2565,6.4361,11.1156,17.3069,25.1868,34.2802,45.2033","0.0,0.2518,1.4479,4.1672,10.4649,19.3707,29.8393,41.1762,52.9354,64.7021,76.5345","0.0,0.4254,2.4693,6.9248,16.4217,29.9524,45.6412,62.3629,79.7954,97.0627,115.1782","0.0,0.2136,1.1625,3.1014,9.2009,20.158,35.2183,52.1881,69.931,87.7055,103.8785"
Stamp_134,"0.1518,0.2064,0.2615,0.3173,0.3742,0.4329,0.4944,0.5605,0.6346,0.7257,0.9273","-220.0007,-197.9999,-176.0003,-153.9957,-131.9989,-109.9971,-87.9971,-65.997,-43.9964,-21.9972,-0.0005","0.0,0.1468,0.7961,2.2619,4.9174,9.1355,14.9286,22.8115,31.4835,40.2681,48.9367","0.0,0.1066,0.4914,2.0057,4.9941,10.7642,19.4503,32.8238,50.0547,68.5768,89.1347","0.0,0.3373,0.9805,2.4654,4.4534,7.1849,10.9662,16.0579,23.0619,31.0709,38.7627","0.0,0.3856,1.2901,3.7244,8.3756,16.5966,29.3991,45.1439,62.5268,80.2952,98.8125","0.0,0.7633,4.1343,13.6528,26.6625,42.2111,59.2138,76.7961,95.0723,114.1449,135.6596","0.0,0.1362,1.598,5.4902,12.3448,21.5977,32.4279,44.2893,56.8368,69.5117,81.5066","0.0,0.2093,1.5298,4.3461,8.9691,15.3621,23.494,33.2072,44.0512,55.3377,66.4462","0.0,0.082,0.6997,2.5723,6.1133,12.3832,20.769,31.3151,44.0224,59.2575,77.379","0.0,0.1122,0.4885,1.5231,3.3675,6.5578,11.2979,17.5541,25.4304,34.5686,45.5747","0.0,0.2701,1.5514,4.2959,10.6599,19.6305,30.1663,41.5687,53.3718,65.0582,76.709","0.0,0.4374,2.6582,7.0886,16.61,30.1762,45.939,62.6885,80.2373,97.6763,116.0037","0.0,0.2425,1.2156,3.1575,9.235,20.1506,35.2094,52.1407,69.8217,87.599,103.6787"
Stamp_135,"0.1518,0.2064,0.2615,0.3173,0.3742,0.4329,0.4944,0.5605,0.6346,0.7257,0.9273","-220.0007,-197.9999,-176.0003,-153.9957,-131.9989,-109.9971,-87.9971,-65.997,-43.9964,-21.9972,-0.0005","0.0,0.1775,0.8349,2.3272,4.9798,9.1973,15.0594,22.957,31.5903,40.2846,48.9531","0.0,0.1164,0.524,2.0521,5.0259,10.7531,19.4617,32.8856,50.2266,68.7776,89.3647","0.0,0.3161,1.0327,2.5393,4.5054,7.2001,10.9244,15.9595,23.1323,31.1111,38.7851","0.0,0.3652,1.3347,3.7218,8.3754,16.5854,29.344,45.0714,62.4503,80.2376,98.5364","0.0,0.812,4.3148,13.8567,26.809,42.3051,59.3117,76.8939,95.2172,114.3885,135.6481","0.0,0.1768,1.6804,5.5127,12.3179,21.5642,32.3132,44.1983,56.7367,69.3679,81.4221","0.0,0.1936,1.5835,4.3752,8.9706,15.3585,23.4508,33.1133,43.9672,55.2122,66.3162","0.0,0.0942,0.7404,2.6453,6.22,12.5985,21.0889,31.782,44.6253,59.8665,78.1364","0.0001,0.119,0.4951,1.5636,3.4197,6.554,11.2812,17.5702,25.4335,34.5802,45.5024","0.0,0.2973,1.6168,4.3374,10.7685,19.748,30.3554,41.7866,53.4975,65.2395,76.8122","0.0,0.4808,2.6997,7.2279,16.7857,30.3563,46.1121,62.8915,80.3137,97.8764,116.1735","0.0,0.2482,1.2474,3.1871,9.283,20.2379,35.2734,52.1458,69.7467,87.5447,103.7911"
Stamp_136,"0.1518,0.2064,0.2615,0.3173,0.3742,0.4329,0.4944,0.5605,0.6346,0.7257,0.9273","-220.0007,-197.9999,-176.0003,-153.9957,-131.9989,-109.9971,-87.9971,-65.997,-43.9964,-21.9972,-0.0005","0.0,0.1504,0.7727,2.2085,4.8124,8.9785,14.7793,22.6072,31.2509,40.0379,48.7311","0.0,0.0912,0.5005,1.9486,4.8687,10.6202,19.2381,32.5484,49.7157,68.2725,88.8085","0.0,0.282,0.9522,2.3934,4.4071,7.1275,10.8886,15.9464,23.1086,31.0907,38.8777","0.0,0.2998,1.2316,3.5309,8.2392,16.4658,29.2751,45.0684,62.4851,80.4077,99.0268","0.0,0.6995,3.8641,13.2498,26.3312,41.8728,58.7664,76.5436,94.7195,113.9684,135.9225","0.0,0.1579,1.5349,5.3287,12.2236,21.4395,32.2374,44.101,56.5479,69.1941,81.4272","0.0,0.1745,1.4951,4.2577,8.9112,15.2801,23.3448,33.0052,43.7713,55.1163,66.2461","0.0,0.0766,0.7644,2.5196,5.8719,11.9742,20.346,30.6813,43.2782,58.4048,76.0572","0.0,0.086,0.4681,1.4431,3.2556,6.3927,11.0482,17.2303,25.04,34.192,45.0622","0.0,0.2562,1.4623,4.1675,10.4823,19.3924,29.9002,41.3211,53.0643,64.9348,76.875","0.0,0.4284,2.4836,6.9057,16.4005,29.873,45.5455,62.2569,79.7056,97.041,115.2998","0.0,0.212,1.1509,3.0688,9.1862,20.0774,35.1675,52.1301,69.8199,87.5471,103.6514"
Stamp_137,"0.1518,0.2064,0.2615,0.3173,0.3742,0.4329,0.4944,0.5605,0.6346,0.7257,0.9273","-220.0007,-197.9999,-176.0003,-153.9957,-131.9989,-109.9971,-87.9971,-65.997,-43.9964,-21.9972,-0.0005","0.0,0.1469,0.7901,2.2512,4.9086,9.1189,14.9153,22.7967,31.4939,40.2949,48.9833","0.0,0.1023,0.4769,2.0049,4.9758,10.7424,19.4232,32.7787,50.0442,68.5426,89.0757","0.0,0.3391,0.9726,2.4616,4.4419,7.176,10.9495,16.0421,23.0191,31.0326,38.725","0.0,0.3874,1.2774,3.6923,8.3404,16.5543,29.2922,45.0658,62.5224,80.3758,98.8224","0.0,0.7321,4.021,13.5087,26.4928,42.018,59.0537,76.6658,95.0218,114.0862,135.5664","0.0,0.1403,1.5959,5.4786,12.3054,21.5888,32.4448,44.2489,56.8666,69.6124,81.6358","0.0,0.2109,1.5245,4.2964,8.8975,15.2749,23.3554,32.97,43.7604,55.04,66.1122","0.0,0.0822,0.6941,2.522,5.9859,12.2429,20.7221,31.2207,43.992,59.1706,77.223","0.0,0.1143,0.4935,1.5136,3.3462,6.5018,11.2275,17.4671,25.3183,34.4907,45.4565","0.0,0.2685,1.5515,4.2919,10.6987,19.7072,30.263,41.7098,53.5096,65.2671,77.0478","0.0,0.4359,2.6388,7.0781,16.6282,30.1773,45.9147,62.6879,80.2762,97.7693,116.1108","0.0,0.2428,1.2125,3.1294,9.2673,20.1652,35.255,52.1502,69.8333,87.6345,103.843"
Stamp_138,"0.1518,0.2064,0.2615,0.3173,0.3742,0.4329,0.4944,0.5605,0.6346,0.7257,0.9273","-220.0007,-197.9999,-176.0003,-153.9957,-131.9989,-109.9971,-87.9971,-65.997,-43.9964,-21.9972,-0.0005","0.0,0.1748,0.8341,2.3146,4.9538,9.1941,14.9809,22.8483,31.549,40.2725,48.9417","0.0,0.1246,0.5376,2.0667,5.0441,10.7911,19.4772,32.841,50.1567,68.6916,89.186","0.0,0.3051,1.0027,2.5207,4.4774,7.176,10.9036,15.9537,23.1025,31.1051,38.854","0.0,0.366,1.326,3.7347,8.3755,16.5881,29.3428,45.1085,62.5216,80.3299,98.6336","0.0,0.7638,4.2487,13.8372,26.8184,42.3039,59.2955,76.9055,95.3494,114.4323,135.7346","0.0,0.1287,1.5894,5.424,12.3049,21.5223,32.2896,44.1653,56.7086,69.4422,81.5437","0.0,0.1891,1.5505,4.3493,8.9526,15.332,23.4013,33.0075,43.829,55.0682,66.1579","0.0,0.0918,0.7246,2.6102,6.1561,12.4665,20.8454,31.4933,44.3686,59.5748,77.8463","0.0,0.1072,0.4773,1.5351,3.3649,6.4878,11.1954,17.4489,25.287,34.3944,45.2812","0.0,0.2797,1.5735,4.322,10.6888,19.6837,30.3013,41.795,53.6411,65.4998,77.3712","0.0,0.4855,2.6839,7.1858,16.7522,30.319,46.0717,62.845,80.3413,97.9227,116.211","0.0,0.2601,1.2498,3.1566,9.2766,20.2014,35.2841,52.2397,69.9242,87.6589,103.7333"
